X	Locus.Identifier	length	logFC	logCPM	PValue	FDR
AT1G14360	AT1G14360.1	1381	2.577418373	6.675047442	1.08E-60	7.81E-58
AT2G36830	AT2G36830.1	1057	2.194901178	10.27938905	1.88E-60	1.30E-57
AT5G54630	AT5G54630.1	1573	-2.197717295	3.701533447	3.06E-60	2.04E-57
AT1G32900	AT1G32900.1	2179	2.352421206	8.734141982	2.70E-59	1.73E-56
AT5G59480	AT5G59480.1	1255	1.90402981	6.447684395	2.12E-58	1.31E-55
AT5G12030	AT5G12030.1	630	9.343875657	9.913623923	2.75E-57	1.65E-54
AT5G44680	AT5G44680.1	1401	-2.120121956	4.920264772	4.68E-57	2.71E-54
AT3G18980	AT3G18980.1	1599	-1.864779322	4.281282738	1.77E-56	9.94E-54
AT2G18300	AT2G18300.3	1485	-2.98515094	4.698564574	4.59E-56	2.50E-53
AT5G48490	AT5G48490.1	446	-4.512509433	2.112786591	7.99E-56	4.23E-53
AT4G19160	AT4G19160.2	2014	-1.788939711	4.979286386	1.20E-55	6.16E-53
AT4G25200	AT4G25200.1	898	9.683320082	10.667632	2.84E-55	1.42E-52
AT3G62600	AT3G62600.1	1443	1.99171461	7.321135119	8.99E-54	4.37E-51
AT2G29450	AT2G29450.1	932	2.54153849	10.133976	1.43E-53	6.75E-51
AT2G41560	AT2G41560.1	3348	-2.664053922	5.523720823	1.85E-53	8.56E-51
AT5G61790	AT5G61790.1	2028	2.17041855	9.774708918	2.49E-53	1.12E-50
AT1G04130	AT1G04130.1	1307	2.514564364	4.840032241	4.42E-53	1.94E-50
AT4G24800	AT4G24800.1	2654	-1.907048299	5.505877024	4.62E-53	1.98E-50
AT5G58770	AT5G58770.1	1089	3.670477088	7.895544197	4.97E-53	2.08E-50
AT4G26540	AT4G26540.1	3509	-2.484381243	3.564164055	1.09E-52	4.48E-50
AT1G61800	AT1G61800.1	1564	3.385799994	6.57302509	1.25E-52	4.98E-50
AT1G64780	AT1G64780.1	1860	2.538712481	6.149388647	1.98E-52	7.73E-50
AT5G52570	AT5G52570.1	1138	3.126211101	7.255709104	3.17E-52	1.21E-49
AT3G14720	AT3G14720.1	2379	1.696128577	6.755646518	4.74E-52	1.78E-49
AT2G02810	AT2G02810.1	1252	2.231687903	5.40424181	5.41E-51	1.99E-48
AT5G18630	AT5G18630.1	1574	-1.916380127	3.788465943	7.02E-51	2.53E-48
AT1G56340	AT1G56340.1	1511	1.787059902	8.888783049	8.64E-51	3.05E-48
AT1G56170	AT1G56170.1	810	3.486050667	5.544400528	9.56E-51	3.31E-48
AT1G65040	AT1G65040.2	1782	2.330867	6.471692214	1.13E-50	3.82E-48
AT2G01420	AT2G01420.2	2347	-1.843897161	5.314701534	1.20E-50	4.01E-48
AT5G28540	AT5G28540.1	2310	2.588737731	10.37043911	5.94E-50	1.94E-47
AT2G30520	AT2G30520.1	1983	-1.760263603	6.676251957	1.84E-49	5.93E-47
AT5G28770	AT5G28770.2	1203	-2.842745821	3.090308413	7.39E-49	2.33E-46
AT1G65590	AT1G65590.1	1908	-1.763064911	4.473675001	1.03E-48	3.20E-46
AT1G71030	AT1G71030.1	983	-2.263179264	4.535285929	1.64E-47	5.01E-45
AT1G18620	AT1G18620.2	3379	-2.254620668	4.712168976	2.46E-47	7.39E-45
AT5G49360	AT5G49360.1	2702	-2.581634884	4.277100877	5.07E-47	1.49E-44
AT4G12400	AT4G12400.2	2001	8.084779968	9.729438188	8.12E-47	2.36E-44
AT2G29320	AT2G29320.1	1146	-2.151969677	3.175079001	1.32E-46	3.76E-44
AT5G04490	AT5G04490.1	1098	-1.893230543	4.075551458	1.34E-46	3.78E-44
AT4G04020	AT4G04020.1	1375	2.585134053	10.98166435	2.93E-46	8.10E-44
AT1G56300	AT1G56300.1	923	2.40436201	7.168135551	3.13E-46	8.54E-44
AT5G58590	AT5G58590.1	980	2.528679853	6.767060092	5.73E-46	1.54E-43
AT4G20260	AT4G20260.4	1077	-1.940932032	6.977944963	6.30E-46	1.67E-43
AT5G52640	AT5G52640.1	2471	6.77354802	11.47254491	8.29E-46	2.16E-43
AT4G21320	AT4G21320.1	1131	6.511047136	7.42457238	1.07E-45	2.74E-43
AT2G25110	AT2G25110.1	1191	1.824286901	6.999987603	1.52E-45	3.84E-43
AT5G22920	AT5G22920.1	1250	-4.492297187	2.715794073	1.90E-45	4.75E-43
AT4G26530	AT4G26530.1	1367	-2.948957709	7.541013623	2.06E-45	5.08E-43
AT1G68840	AT1G68840.1	1409	-3.282309687	2.56234327	8.50E-45	2.07E-42
AT3G13470	AT3G13470.1	2078	2.952916799	11.01689104	8.89E-45	2.13E-42
AT1G32870	AT1G32870.1	1905	3.401760175	5.61332933	1.24E-44	2.94E-42
AT1G33240	AT1G33240.1	2621	-1.395927205	5.613121346	3.19E-44	7.46E-42
AT3G58120	AT3G58120.1	1550	-2.700733854	3.809248189	3.51E-44	8.10E-42
AT5G59080	AT5G59080.1	844	-2.224969808	3.410256757	4.84E-44	1.10E-41
AT3G13750	AT3G13750.1	3294	-1.638843944	6.757182809	6.14E-44	1.38E-41
AT2G41730	AT2G41730.1	474	4.888295882	4.912205305	9.28E-44	2.06E-41
AT2G04030	AT2G04030.1	2661	2.120162913	10.48131836	3.01E-43	6.61E-41
AT5G05860	AT5G05860.1	1496	-2.689731049	2.209634014	3.09E-43	6.70E-41
AT3G19850	AT3G19850.1	1962	-2.644768849	2.890095751	4.59E-43	9.83E-41
AT3G24100	AT3G24100.1	477	2.194839291	6.59627545	5.83E-43	1.23E-40
AT5G18600	AT5G18600.1	696	-2.508517162	4.19096447	6.69E-43	1.40E-40
AT4G23820	AT4G23820.1	1550	-1.782939134	5.592597157	9.08E-43	1.88E-40
AT3G62950	AT3G62950.1	685	-6.60534214	1.038664902	2.33E-42	4.76E-40
AT1G31173	AT1G31173.1	1604	-5.447399468	1.896291421	2.44E-42	4.94E-40
AT5G14120	AT5G14120.1	2359	-1.921116205	7.220954037	4.21E-42	8.42E-40
AT1G72660	AT1G72660.1	1518	7.9291191	6.135557627	5.09E-42	1.01E-39
AT2G20560	AT2G20560.1	1429	5.433620321	8.473065078	1.62E-41	3.17E-39
AT5G60680	AT5G60680.1	831	-2.637266385	3.181738366	1.67E-41	3.23E-39
AT2G37170	AT2G37170.1	1142	1.778455569	7.938223706	1.72E-41	3.29E-39
AT4G04340	AT4G04340.2	2778	-1.358026194	6.404968403	1.81E-41	3.42E-39
AT5G63470	AT5G63470.1	1101	-2.436413199	3.93219703	2.17E-41	4.07E-39
AT2G36320	AT2G36320.1	1531	-1.867054525	4.358693372	3.07E-41	5.70E-39
AT1G07350	AT1G07350.1	1449	3.067560937	8.189936146	4.49E-41	8.25E-39
AT4G29520	AT4G29520.1	1147	2.018208344	6.187044023	5.87E-41	1.07E-38
AT1G07890	AT1G07890.3	1013	1.862014892	11.1961044	6.65E-41	1.20E-38
AT4G08920	AT4G08920.1	2547	-1.308121258	6.747213023	7.01E-41	1.25E-38
AT5G03160	AT5G03160.1	1751	1.882634933	6.517101855	1.01E-40	1.79E-38
AT4G10250	AT4G10250.1	948	9.290420917	9.693785186	1.82E-40	3.17E-38
AT4G28240	AT4G28240.1	1055	-2.369887604	2.351269148	1.88E-40	3.25E-38
AT5G49730	AT5G49730.1	2520	-2.031742945	6.225626402	2.11E-40	3.61E-38
AT3G59940	AT3G59940.1	1539	-2.427594753	5.847639332	2.13E-40	3.61E-38
AT1G68190	AT1G68190.1	1334	-2.717297247	3.481417955	2.27E-40	3.81E-38
AT4G01330	AT4G01330.2	1979	-1.846112317	3.717644394	2.57E-40	4.27E-38
AT5G12950	AT5G12950.1	2907	-1.833547255	5.041591038	6.95E-40	1.15E-37
AT4G17810	AT4G17810.1	809	-3.138670392	2.757905836	1.75E-39	2.86E-37
AT1G20010	AT1G20010.1	1686	-1.767933585	6.793135492	4.53E-39	7.33E-37
AT3G22370	AT3G22370.1	1484	2.44406413	7.443061857	5.14E-39	8.25E-37
AT1G80440	AT1G80440.1	1464	-4.620972892	2.398168783	7.12E-39	1.13E-36
AT2G23130	AT2G23130.1	816	-2.17357469	5.161929218	9.43E-39	1.49E-36
AT1G56600	AT1G56600.1	1392	3.043170338	5.371406858	1.18E-38	1.84E-36
AT2G29290	AT2G29290.2	1395	-2.047751921	4.393032852	1.75E-38	2.71E-36
AT1G74670	AT1G74670.1	651	-4.223325381	4.686542273	2.12E-38	3.27E-36
AT2G27420	AT2G27420.1	1307	2.360860671	4.89766059	2.19E-38	3.34E-36
AT3G53230	AT3G53230.1	2690	4.146605174	7.552711865	2.82E-38	4.27E-36
AT4G12980	AT4G12980.1	1485	-2.101606201	5.070838568	3.60E-38	5.40E-36
AT1G02460	AT1G02460.1	1799	2.643283673	3.163845641	3.64E-38	5.42E-36
AT1G54820	AT1G54820.1	1525	-1.327454869	4.505654359	5.85E-38	8.62E-36
AT2G30600	AT2G30600.5	3119	-2.070853602	5.506674924	9.35E-38	1.37E-35
AT1G66150	AT1G66150.1	3255	-1.551785623	5.663964624	1.13E-37	1.64E-35
AT2G32920	AT2G32920.1	1564	2.005320997	7.467289845	1.18E-37	1.70E-35
AT2G21640	AT2G21640.1	533	3.805967117	6.032228836	1.84E-37	2.63E-35
AT3G26450	AT3G26450.1	887	1.648212114	8.601824104	6.59E-37	9.33E-35
AT2G47730	AT2G47730.1	1728	2.785007405	9.698096229	1.15E-36	1.61E-34
AT1G71000	AT1G71000.1	494	7.678885501	6.970528826	1.87E-36	2.61E-34
AT2G26150	AT2G26150.1	1389	6.713151168	8.727003556	1.93E-36	2.67E-34
AT4G16660	AT4G16660.1	3008	2.053893009	8.464973738	2.38E-36	3.27E-34
AT2G15090	AT2G15090.1	1691	-2.035823025	4.4390298	2.76E-36	3.77E-34
AT1G21130	AT1G21130.1	1362	-2.422685227	5.339798629	3.73E-36	5.05E-34
AT1G21920	AT1G21920.1	1724	-1.885200448	3.589554166	4.51E-36	6.05E-34
AT3G62550	AT3G62550.1	794	-2.984357545	3.908861202	5.50E-36	7.33E-34
AT3G16910	AT3G16910.1	1973	1.494087785	6.28801004	6.16E-36	8.15E-34
AT5G63160	AT5G63160.1	1401	2.007162833	7.000664789	6.81E-36	8.95E-34
AT3G15450	AT3G15450.1	948	-2.785364007	3.848566844	7.33E-36	9.55E-34
AT5G45650	AT5G45650.1	2534	-1.842197541	5.044204658	7.55E-36	9.77E-34
AT5G54930	AT5G54930.1	1151	1.911239391	3.314715049	1.04E-35	1.33E-33
AT1G58520	AT1G58520.2	3596	1.680297988	6.492212369	1.24E-35	1.58E-33
AT1G20070	AT1G20070.1	1113	1.951601354	6.287454072	1.57E-35	1.99E-33
AT2G15890	AT2G15890.1	1483	-2.098084842	4.560302743	1.72E-35	2.16E-33
AT1G75460	AT1G75460.1	1878	-1.543087239	7.234348529	2.22E-35	2.77E-33
AT1G78460	AT1G78460.1	916	-2.437471701	2.690981652	2.48E-35	3.08E-33
AT1G27330	AT1G27330.1	475	1.929215424	6.483536199	4.32E-35	5.32E-33
AT5G56030	AT5G56030.2	2313	2.918631271	11.35218231	5.65E-35	6.92E-33
AT1G56440	AT1G56440.2	1797	2.453720195	4.848162296	1.55E-34	1.88E-32
AT5G16030	AT5G16030.3	1273	-2.260931239	5.680995234	2.92E-34	3.53E-32
AT1G79550	AT1G79550.1	1671	2.01037286	9.708633037	3.84E-34	4.61E-32
AT1G25230	AT1G25230.1	1104	-2.237826245	2.49681053	4.49E-34	5.34E-32
AT2G20180	AT2G20180.2	1859	-1.789234361	3.332080332	4.80E-34	5.69E-32
AT5G53120	AT5G53120.6	1585	1.57373288	6.674327863	6.00E-34	7.06E-32
AT3G06080	AT3G06080.2	2118	-1.600056692	4.107479915	6.26E-34	7.32E-32
AT3G18050	AT3G18050.1	1339	-1.556304295	5.82458226	7.97E-34	9.25E-32
AT4G24190	AT4G24190.1	2700	1.902835459	9.933830074	8.26E-34	9.52E-32
AT2G30930	AT2G30930.1	823	-2.550162516	3.471197301	9.29E-34	1.06E-31
AT3G53830	AT3G53830.1	1615	2.888083389	6.425984558	1.11E-33	1.27E-31
AT1G09750	AT1G09750.1	1576	-1.897727861	6.473149104	1.73E-33	1.95E-31
AT1G56220	AT1G56220.3	754	-1.908445366	5.409791155	2.40E-33	2.70E-31
AT1G14580	AT1G14580.1	1946	-1.467898935	4.124302892	3.09E-33	3.46E-31
AT1G05170	AT1G05170.2	1826	1.535469802	5.177293022	3.42E-33	3.80E-31
AT2G46330	AT2G46330.1	588	-1.829116423	5.196228004	3.76E-33	4.15E-31
AT2G25950	AT2G25950.1	834	1.742987963	5.338668121	3.90E-33	4.28E-31
AT5G35790	AT5G35790.1	1979	-1.537998474	6.213914465	5.43E-33	5.92E-31
AT2G03440	AT2G03440.1	913	-1.822517592	5.775509584	5.77E-33	6.26E-31
AT3G27690	AT3G27690.1	944	-1.780913134	9.626311791	9.65E-33	1.04E-30
AT1G09210	AT1G09210.1	1732	1.421354355	8.57862227	1.30E-32	1.39E-30
AT5G25450	AT5G25450.1	1031	6.56755574	7.110480109	1.39E-32	1.48E-30
AT3G26030	AT3G26030.1	2159	-1.307360657	5.034402034	3.55E-32	3.75E-30
AT2G45180	AT2G45180.1	677	-2.065927259	9.307676318	7.56E-32	7.95E-30
AT1G27210	AT1G27210.1	2283	-1.599207055	3.872122654	8.82E-32	9.22E-30
AT4G00750	AT4G00750.1	2117	-2.068126465	3.849178139	9.24E-32	9.61E-30
AT3G09580	AT3G09580.1	1574	-1.64821651	4.225945261	9.33E-32	9.65E-30
AT3G04710	AT3G04710.1	1684	2.626502938	6.233779079	1.25E-31	1.29E-29
AT2G27050	AT2G27050.1	2264	-1.433186886	4.302053934	1.55E-31	1.58E-29
AT4G24960	AT4G24960.1	788	1.589611172	5.217773927	2.56E-31	2.60E-29
AT1G01520	AT1G01520.1	856	2.409194682	2.420616729	3.98E-31	4.03E-29
AT1G65980	AT1G65980.1	887	1.733693864	8.298185159	4.70E-31	4.73E-29
AT3G16850	AT3G16850.1	1801	-1.32813506	5.507276567	9.67E-31	9.66E-29
AT1G51440	AT1G51440.1	1781	1.66669152	4.221554622	1.10E-30	1.09E-28
AT1G35580	AT1G35580.1	2060	-1.244454423	5.500889386	1.31E-30	1.29E-28
AT5G13710	AT5G13710.1	1459	-1.210001279	5.19156306	1.69E-30	1.66E-28
AT5G62630	AT5G62630.1	2277	-1.83631202	2.764120166	1.72E-30	1.68E-28
AT2G25140	AT2G25140.1	3213	3.102630792	7.234267998	1.76E-30	1.71E-28
AT5G42760	AT5G42760.2	1336	1.989972381	4.025024676	2.10E-30	2.03E-28
AT3G07770	AT3G07770.1	2667	2.377122118	8.377554032	2.48E-30	2.39E-28
AT5G47420	AT5G47420.1	1237	1.530971251	4.515456361	2.52E-30	2.41E-28
AT4G08555	AT4G08555.1	390	3.692763995	2.824778168	3.72E-30	3.54E-28
AT1G71970	AT1G71970.1	999	-2.174614383	2.625268779	4.06E-30	3.84E-28
AT1G59860	AT1G59860.1	719	7.463268133	8.611786542	4.39E-30	4.14E-28
AT3G24500	AT3G24500.1	629	4.500431917	8.376715277	5.09E-30	4.77E-28
AT3G59820	AT3G59820.2	2681	1.893215179	6.270542182	5.22E-30	4.87E-28
AT4G34220	AT4G34220.1	2559	-1.380378952	5.054446395	6.15E-30	5.71E-28
AT1G22530	AT1G22530.1	2444	-1.662743626	6.022447853	6.80E-30	6.27E-28
AT5G43450	AT5G43450.1	1365	2.566466849	6.167002172	9.60E-30	8.81E-28
AT2G42320	AT2G42320.1	2283	-1.93912067	4.552070858	1.06E-29	9.71E-28
AT5G56630	AT5G56630.1	2072	1.937528976	6.419036406	1.37E-29	1.24E-27
AT1G14980	AT1G14980.1	687	1.96649718	8.056387333	1.43E-29	1.29E-27
AT3G56060	AT3G56060.1	1954	-1.201505372	4.441604461	1.51E-29	1.35E-27
AT4G11660	AT4G11660.1	1989	2.394724217	4.872026816	1.76E-29	1.58E-27
AT5G59750	AT5G59750.2	1793	-1.368899811	3.958854976	1.81E-29	1.61E-27
AT3G46640	AT3G46640.3	1380	2.154421105	4.43105265	2.43E-29	2.15E-27
AT5G54860	AT5G54860.1	1790	1.795351284	4.497205159	3.03E-29	2.67E-27
AT2G48020	AT2G48020.2	1735	-1.165354313	4.804169013	3.21E-29	2.81E-27
AT5G39080	AT5G39080.1	1503	-1.689593018	4.296288412	3.56E-29	3.11E-27
AT3G17790	AT3G17790.1	1431	1.743211872	6.152687212	5.87E-29	5.10E-27
AT5G09590	AT5G09590.1	2458	3.018597642	9.290707363	6.75E-29	5.84E-27
AT5G28020	AT5G28020.1	1540	-1.348659429	4.597662886	7.92E-29	6.81E-27
AT5G53400	AT5G53400.1	1241	2.803955795	6.971091513	9.06E-29	7.77E-27
AT3G16520	AT3G16520.3	1654	-1.599775402	6.544988281	9.17E-29	7.82E-27
AT1G12090	AT1G12090.1	878	-1.498664321	9.193922149	1.23E-28	1.04E-26
AT5G03740	AT5G03740.1	1234	1.676467994	6.881866876	1.40E-28	1.18E-26
AT1G74940	AT1G74940.1	1205	-1.977070273	2.920577798	3.25E-28	2.74E-26
AT5G65730	AT5G65730.1	1111	-1.577479347	6.542475932	3.76E-28	3.15E-26
AT4G14540	AT4G14540.1	602	-1.65416734	4.08004798	4.14E-28	3.45E-26
AT2G32120	AT2G32120.1	2090	6.105152003	8.152248107	4.17E-28	3.46E-26
AT3G08970	AT3G08970.1	2029	4.136626629	6.919539714	4.48E-28	3.69E-26
AT1G74310	AT1G74310.1	3159	6.288154703	10.74587302	4.49E-28	3.69E-26
AT2G45960	AT2G45960.3	1295	1.190722471	10.57748468	5.63E-28	4.61E-26
AT4G24972	AT4G24972.1	931	1.884361715	5.736557491	7.36E-28	5.99E-26
AT5G35970	AT5G35970.1	3325	-1.153509856	7.58904449	1.27E-27	1.03E-25
AT5G47390	AT5G47390.1	1618	-1.282651273	3.911389998	1.74E-27	1.40E-25
AT3G28040	AT3G28040.1	3254	-1.223711926	5.663983163	1.89E-27	1.51E-25
AT1G20693	AT1G20693.1	946	-1.754273196	5.843014858	1.92E-27	1.54E-25
AT4G02980	AT4G02980.1	866	1.951164027	5.200875342	2.01E-27	1.60E-25
AT2G47180	AT2G47180.1	1351	3.5070456	10.16522707	2.14E-27	1.70E-25
AT1G13650	AT1G13650.2	1191	-1.445799392	6.365655675	2.20E-27	1.74E-25
AT3G07310	AT3G07310.1	1468	-1.361578532	5.145092837	2.38E-27	1.87E-25
AT3G45780	AT3G45780.1	3283	-1.297095964	7.608686507	2.82E-27	2.20E-25
AT2G44740	AT2G44740.1	1000	-2.604922061	1.953635503	2.83E-27	2.20E-25
AT5G19770	AT5G19770.1	1721	-1.313139611	7.038825794	2.85E-27	2.21E-25
AT3G23990	AT3G23990.1	2113	2.494662195	9.176710792	3.01E-27	2.32E-25
AT3G14620	AT3G14620.1	1832	2.804046872	6.906715708	3.15E-27	2.42E-25
AT4G34250	AT4G34250.1	1787	-1.70018657	3.630784314	4.53E-27	3.47E-25
AT5G22060	AT5G22060.1	1560	1.870402124	7.537992113	5.14E-27	3.92E-25
AT5G54940	AT5G54940.1	655	1.777571089	8.791070492	5.94E-27	4.51E-25
AT1G62740	AT1G62740.1	1942	1.940545256	6.923368472	7.04E-27	5.32E-25
AT2G17900	AT2G17900.1	1529	3.15799832	4.376633095	7.60E-27	5.72E-25
AT2G16280	AT2G16280.1	1953	-1.175416697	6.300699915	8.29E-27	6.21E-25
AT5G59430	AT5G59430.1	2152	-1.22370437	4.2693561	1.11E-26	8.23E-25
AT3G25230	AT3G25230.2	1996	3.056220173	9.189174118	1.11E-26	8.23E-25
AT4G08230	AT4G08230.1	667	1.831441987	5.53442916	1.21E-26	8.95E-25
AT2G19310	AT2G19310.1	612	3.691200809	8.853779117	2.25E-26	1.66E-24
AT1G64200	AT1G64200.1	719	2.120209562	8.239307203	2.37E-26	1.74E-24
AT1G19000	AT1G19000.1	1318	-1.057128612	6.903155386	2.53E-26	1.85E-24
AT1G27350	AT1G27350.1	494	1.909123385	6.407428609	3.49E-26	2.54E-24
AT3G12050	AT3G12050.1	1430	2.990300792	8.366050683	3.52E-26	2.55E-24
AT2G26690	AT2G26690.1	2004	1.656950737	7.615355902	4.98E-26	3.60E-24
AT1G32540	AT1G32540.1	1598	-1.919983298	3.404416796	5.25E-26	3.78E-24
AT1G30520	AT1G30520.1	1882	-1.168463977	4.594422989	5.51E-26	3.95E-24
AT4G35440	AT4G35440.2	2654	-1.231683175	3.902409475	5.95E-26	4.25E-24
AT5G56100	AT5G56100.1	636	-3.683730271	1.776825457	6.11E-26	4.34E-24
AT3G10410	AT3G10410.1	1819	1.199631667	6.489900528	6.46E-26	4.57E-24
AT1G04280	AT1G04280.1	1916	-2.543249296	1.703794	7.22E-26	5.09E-24
AT5G20190	AT5G20190.1	1078	1.439886888	8.448147899	7.31E-26	5.14E-24
AT5G03210	AT5G03210.1	534	3.096376818	6.239411461	7.96E-26	5.58E-24
AT3G51980	AT3G51980.1	1431	1.291708409	4.987284241	9.13E-26	6.37E-24
AT2G29310	AT2G29310.1	896	-1.433798813	4.267936225	9.43E-26	6.55E-24
AT5G07340	AT5G07340.2	1895	1.128538066	6.428762121	1.15E-25	7.94E-24
AT3G61210	AT3G61210.1	1042	-1.963869743	2.965072716	1.16E-25	7.96E-24
AT4G11220	AT4G11220.1	1293	2.030090513	6.658145845	1.27E-25	8.70E-24
AT3G57810	AT3G57810.2	1325	1.645820794	5.285183279	1.45E-25	9.93E-24
AT1G77510	AT1G77510.1	1788	1.479363359	6.850920013	1.56E-25	1.06E-23
AT1G30070	AT1G30070.2	953	4.274987898	7.821037915	1.66E-25	1.12E-23
AT2G46240	AT2G46240.1	3508	4.663667779	9.337035851	2.12E-25	1.43E-23
AT2G47470	AT2G47470.1	1491	1.162101275	7.578607081	2.17E-25	1.46E-23
AT4G10040	AT4G10040.1	649	1.733343604	6.375466215	2.27E-25	1.52E-23
AT4G19430	AT4G19430.1	706	4.198991141	4.777001189	2.73E-25	1.83E-23
AT5G08790	AT5G08790.1	1231	2.061897451	5.941907655	2.76E-25	1.84E-23
AT4G27670	AT4G27670.1	936	9.826446755	8.197188349	2.96E-25	1.96E-23
AT3G21660	AT3G21660.1	1300	3.588378371	1.440004452	2.96E-25	1.96E-23
AT1G20840	AT1G20840.1	2493	-1.534608475	4.396673014	4.38E-25	2.89E-23
AT3G46590	AT3G46590.2	2309	-1.196859511	4.400066357	4.79E-25	3.15E-23
AT3G47620	AT3G47620.1	1918	-1.16821826	5.215607532	5.46E-25	3.57E-23
AT1G79920	AT1G79920.1	2953	2.60332659	9.985426487	6.54E-25	4.26E-23
AT1G44446	AT1G44446.1	1979	-0.995717015	7.554497403	8.62E-25	5.60E-23
AT4G38690	AT4G38690.1	1290	-1.399078582	4.405038602	1.01E-24	6.53E-23
AT5G56010	AT5G56010.1	2420	1.6363302	9.821000457	1.49E-24	9.58E-23
AT5G44020	AT5G44020.1	1130	-1.688338571	7.419167648	1.94E-24	1.25E-22
AT1G17870	AT1G17870.1	1850	5.722191048	7.842608669	2.03E-24	1.30E-22
AT4G30240	AT4G30240.1	1491	1.613759482	4.891634003	2.08E-24	1.32E-22
AT2G25200	AT2G25200.1	1171	-2.698068341	2.644552052	2.09E-24	1.33E-22
AT3G14790	AT3G14790.1	2345	-1.043825187	4.135953944	2.12E-24	1.34E-22
AT5G49760	AT5G49760.1	3397	-1.407514972	5.750190628	2.85E-24	1.80E-22
AT2G37060	AT2G37060.1	834	1.897643273	3.564995048	3.24E-24	2.04E-22
AT1G12440	AT1G12440.1	967	-1.16726026	4.854606947	3.48E-24	2.18E-22
AT3G51910	AT3G51910.1	817	5.59443521	5.517640608	3.81E-24	2.38E-22
AT5G24155	AT5G24155.1	374	1.403046102	4.415168624	6.04E-24	3.76E-22
AT3G54820	AT3G54820.1	1225	1.449513915	4.745172724	6.17E-24	3.83E-22
AT5G59720	AT5G59720.1	700	6.990496766	9.804924657	6.77E-24	4.18E-22
AT4G10430	AT4G10430.1	1356	1.045472339	5.659708023	8.29E-24	5.11E-22
AT4G36648	AT4G36648.1	2103	1.523201961	6.603019935	8.63E-24	5.30E-22
AT5G15740	AT5G15740.1	2450	1.156078091	5.786658098	9.08E-24	5.55E-22
AT5G44530	AT5G44530.1	2854	-1.615605832	4.364668494	9.37E-24	5.71E-22
AT1G61740	AT1G61740.1	1722	1.302276831	6.991520429	9.50E-24	5.78E-22
AT3G21460	AT3G21460.1	574	-2.661608322	1.653220286	9.64E-24	5.84E-22
AT3G02170	AT3G02170.1	3295	-1.418449704	3.980800831	1.39E-23	8.37E-22
AT3G12150	AT3G12150.1	1647	-2.148719347	2.679948214	1.49E-23	8.94E-22
AT2G41250	AT2G41250.1	1137	-1.790860642	3.274642071	1.91E-23	1.15E-21
AT4G33666	AT4G33666.1	487	-1.433472909	4.284387545	1.99E-23	1.19E-21
AT1G23480	AT1G23480.1	2006	-1.595243794	4.006584282	2.47E-23	1.47E-21
AT3G07010	AT3G07010.1	1667	-2.15902449	3.600866787	2.77E-23	1.65E-21
AT5G02490	AT5G02490.1	2303	2.408426568	6.391556893	3.01E-23	1.78E-21
AT3G50920	AT3G50920.1	915	1.121359019	4.190001077	3.03E-23	1.79E-21
AT2G42190	AT2G42190.1	881	-1.389016175	4.073181231	3.20E-23	1.88E-21
AT3G60320	AT3G60320.1	2717	-1.182903449	6.049482109	3.27E-23	1.92E-21
AT3G52840	AT3G52840.1	2499	-1.189210898	6.181431355	3.38E-23	1.98E-21
